import time: self [us] | cumulative | imported package
import time:       195 |       2145 |                   scipy.optimize._lsq.lsq_linear
import time:       242 |       3378 |                 scipy.optimize._lsq
import time:       458 |       5380 |               scipy.optimize._minpack_py
import time:       280 |        280 |               scipy.optimize._spectral
import time:      1077 |       1077 |               scipy.optimize._nonlin
import time:       310 |       7046 |             scipy.optimize._root
import time:      1699 |       1699 |                 scipy.optimize._zeros
import time:       341 |       2040 |               scipy.optimize._zeros_py
import time:       277 |       2316 |             scipy.optimize._root_scalar
import time:       209 |        209 |             scipy.optimize._nnls
import time:      1136 |       1136 |             scipy.optimize._basinhopping
import time:       149 |        149 |                   scipy.optimize._highspy
import time:      8798 |       8798 |                   scipy.optimize._highspy._core
import time:      1996 |       1996 |                   scipy.optimize._highspy._highs_options
import time:       400 |      11341 |                 scipy.optimize._highspy._highs_wrapper
import time:       224 |      11565 |               scipy.optimize._linprog_highs
import time:        62 |         62 |                               uarray
import time:      1897 |       1897 |                                   scipy._lib._uarray._uarray
import time:       387 |       2283 |                                 scipy._lib._uarray._backend
import time:       263 |       2546 |                               scipy._lib._uarray
import time:       208 |       2815 |                             scipy._lib.uarray
import time:      4505 |       7320 |                           scipy.fft._basic
import time:      1957 |       1957 |                           scipy.fft._realtransforms
import time:       336 |        336 |                             scipy.fft._fftlog_backend
import time:       628 |        964 |                           scipy.fft._fftlog
import time:      3302 |       3302 |                                 scipy.fft._duccfft.pyduccfft
import time:       453 |        453 |                                 scipy.fft._duccfft.helper
import time:       280 |       4034 |                               scipy.fft._duccfft.basic
import time:       156 |        156 |                               scipy.fft._duccfft.realtransforms
import time:       292 |       4482 |                             scipy.fft._duccfft
import time:       943 |       5424 |                           scipy.fft._helper
import time:       114 |        114 |                             scipy.fft._basic_backend
import time:       152 |        152 |                             scipy.fft._realtransforms_backend
import time:       616 |        881 |                           scipy.fft._backend
import time:       417 |      16961 |                         scipy.fft
import time:      2186 |      19146 |                       scipy.linalg._decomp_interpolative
import time:       220 |      19365 |                     scipy.linalg.interpolative
import time:       217 |      19582 |                   scipy.optimize._remove_redundancy
import time:       395 |      19976 |                 scipy.optimize._linprog_util
import time:        70 |         70 |                 sksparse
import time:        37 |         37 |                   scikits
import time:         8 |         45 |                 scikits.umfpack
import time:       324 |      20413 |               scipy.optimize._linprog_ip
import time:       262 |        262 |               scipy.optimize._linprog_simplex
import time:      2274 |       2274 |                 scipy.optimize._bglu_dense
import time:       271 |       2545 |               scipy.optimize._linprog_rs
import time:       267 |        267 |               scipy.optimize._linprog_doc
import time:       301 |      35351 |             scipy.optimize._linprog
import time:      1742 |       1742 |             scipy.optimize._lsap
import time:      1918 |       1918 |             scipy.optimize._differentialevolution
import time:      1986 |       1986 |               scipy.optimize._pava_pybind
import time:       410 |       2396 |             scipy.optimize._isotonic
import time:      2621 |       2621 |                 scipy.spatial._ckdtree
import time:      2272 |       2272 |                   scipy.spatial._hausdorff
import time:      3861 |       3861 |                   scipy.spatial._distance_pybind
import time:      2247 |       2247 |                   scipy.spatial._distance_wrap
import time:      1662 |      10041 |                 scipy.spatial.distance
import time:       815 |      13476 |               scipy.spatial._kdtree
import time:      2814 |       2814 |               scipy.spatial._qhull
import time:      1994 |       1994 |                 scipy.spatial._voronoi
import time:       376 |       2370 |               scipy.spatial._spherical_voronoi
import time:       326 |        326 |               scipy.spatial._plotutils
import time:       176 |        176 |               scipy.spatial._procrustes
import time:       175 |        175 |               scipy.spatial._geometric_slerp
import time:       165 |        165 |               scipy.spatial.ckdtree
import time:       143 |        143 |               scipy.spatial.kdtree
import time:       132 |        132 |               scipy.spatial.qhull
import time:      3043 |       3043 |                   scipy.spatial.transform._rotation_cy
import time:       480 |        480 |                   scipy.spatial.transform._rotation_xp
import time:      2305 |       2305 |                       scipy.constants._codata
import time:       684 |        684 |                       scipy.constants._constants
import time:       352 |        352 |                       scipy.constants.codata
import time:       216 |        216 |                       scipy.constants.constants
import time:       686 |       4240 |                     scipy.constants
import time:       219 |       4459 |                   scipy.spatial.transform._rotation_groups
import time:      1653 |       9634 |                 scipy.spatial.transform._rotation
import time:      2394 |       2394 |                   scipy.spatial.transform._rigid_transform_cy
import time:       281 |        281 |                   scipy.spatial.transform._rigid_transform_xp
import time:       994 |       3668 |                 scipy.spatial.transform._rigid_transform
import time:       278 |        278 |                 scipy.spatial.transform._rotation_spline
import time:        94 |         94 |                 scipy.spatial.transform.rotation
import time:       265 |      13937 |               scipy.spatial.transform
import time:       156 |        156 |                 scipy.optimize._shgo_lib
import time:      4032 |       4032 |                   _decimal
import time:       197 |       4228 |                 decimal
import time:       550 |        550 |                 scipy.optimize._shgo_lib._vertex
import time:       354 |       5286 |               scipy.optimize._shgo_lib._complex
import time:       872 |      39866 |             scipy.optimize._shgo
import time:      1240 |       1240 |             scipy.optimize._dual_annealing
import time:       271 |        271 |             scipy.optimize._qap
import time:      2120 |       2120 |               scipy.optimize._direct
import time:       304 |       2424 |             scipy.optimize._direct_py
import time:       297 |        297 |             scipy.optimize._milp
import time:       188 |        188 |             scipy.optimize.cobyla
import time:       147 |        147 |             scipy.optimize.lbfgsb
import time:       171 |        171 |             scipy.optimize.linesearch
import time:       410 |        410 |             scipy.optimize.minpack
import time:        83 |         83 |             scipy.optimize.minpack2
import time:       143 |        143 |             scipy.optimize.moduleTNC
import time:        92 |         92 |             scipy.optimize.nonlin
import time:       159 |        159 |             scipy.optimize.optimize
import time:       167 |        167 |             scipy.optimize.slsqp
import time:       144 |        144 |             scipy.optimize.tnc
import time:       140 |        140 |             scipy.optimize.zeros
import time:       555 |     151600 |           scipy.optimize
import time:      2261 |       2261 |           scipy.interpolate._dierckx
import time:      1566 |     155426 |         scipy.interpolate._bsplines
import time:      1923 |     160066 |       scipy.interpolate._fitpack_py
import time:       557 |        557 |       scipy.interpolate._polyint
import time:      2163 |       2163 |       scipy.interpolate._ppoly
import time:      2147 |       2147 |       scipy.interpolate._interpnd
import time:      1636 |     349206 |     scipy.interpolate._interpolate
import time:      2479 |       2479 |     scipy.interpolate._fitpack2
import time:       582 |        582 |     scipy.interpolate._rbf
import time:       148 |        148 |         scipy.interpolate._rbfinterp_common
import time:      2444 |       2444 |         scipy.interpolate._rbfinterp_pythran
import time:       244 |       2835 |       scipy.interpolate._rbfinterp_np
import time:       270 |        270 |       scipy.interpolate._rbfinterp_xp
import time:       725 |       3828 |     scipy.interpolate._rbfinterp
import time:      1443 |       1443 |     scipy.interpolate._cubic
import time:       296 |        296 |     scipy.interpolate._ndgriddata
import time:      1138 |       1138 |     scipy.interpolate._fitpack_repro
import time:       306 |        306 |     scipy.interpolate._pade
import time:      1811 |       1811 |       scipy.interpolate._rgi_cython
import time:       679 |        679 |       scipy.interpolate._ndbspline
import time:       742 |       3231 |     scipy.interpolate._rgi
import time:       325 |        325 |     scipy.interpolate._bary_rational
import time:       166 |        166 |     scipy.interpolate.fitpack
import time:       166 |        166 |     scipy.interpolate.fitpack2
import time:       150 |        150 |     scipy.interpolate.interpolate
import time:       161 |        161 |     scipy.interpolate.ndgriddata
import time:       217 |        217 |     scipy.interpolate.polyint
import time:       298 |        298 |     scipy.interpolate.rbf
import time:       133 |        133 |     scipy.interpolate.interpnd
import time:       491 |     452733 |   scipy.interpolate
import time:        12 |     452745 | scipy.interpolate._rgi
isolated scipy import passed
