import time: self [us] | cumulative | imported package
import time:       209 |        209 |           numpy.lib._version
import time:       218 |        218 |           numpy.lib.introspect
import time:       236 |        236 |           numpy.lib.mixins
import time:        82 |         82 |           numpy.lib.npyio
import time:       629 |        629 |             numpy.lib._scimath_impl
import time:        84 |        712 |           numpy.lib.scimath
import time:       638 |      23696 |         numpy.lib
import time:       299 |        299 |         numpy._array_api_info
import time:      2805 |      59050 |       numpy
import time:       543 |        543 |       scipy.__config__
import time:       195 |        195 |       scipy.version
import time:        13 |         13 |         scipy._distributor_init_local
import time:       210 |        222 |       scipy._distributor_init
import time:        38 |         38 |           scipy._external
import time:       324 |        361 |         scipy._external.packaging_version
import time:       404 |        404 |         __future__
import time:       115 |        115 |         scipy._external.packaging_version._structures
import time:      1367 |       2246 |       scipy._external.packaging_version.version
import time:       656 |        656 |                   _opcode
import time:       281 |        281 |                   _opcode_metadata
import time:       291 |       1227 |                 opcode
import time:       605 |       1831 |               dis
import time:        42 |         42 |               importlib.machinery
import time:       201 |        201 |                 token
import time:        22 |         22 |                 _tokenize
import time:       583 |        804 |               tokenize
import time:      1085 |       3762 |             inspect
import time:        87 |         87 |               fnmatch
import time:      1068 |       1068 |               zlib
import time:       334 |        334 |                 _compression
import time:       874 |        874 |                 _bz2
import time:       551 |       1757 |               bz2
import time:      2055 |       2055 |                 _lzma
import time:       383 |       2438 |               lzma
import time:       613 |       5960 |             shutil
import time:       323 |        323 |               threading
import time:       428 |        428 |               fcntl
import time:        49 |         49 |               msvcrt
import time:       535 |        535 |               _posixsubprocess
import time:       534 |        534 |               select
import time:       340 |        340 |               selectors
import time:       486 |       2692 |             subprocess
import time:       482 |        482 |             sysconfig
import time:       385 |        385 |               concurrent
import time:       334 |        334 |                     _colorize
import time:       645 |        979 |                   traceback
import time:        20 |         20 |                     _string
import time:       501 |        521 |                   string
import time:        18 |         18 |                   atexit
import time:      1212 |       2728 |                 logging
import time:       683 |       3410 |               concurrent.futures._base
import time:       268 |       4062 |             concurrent.futures
import time:       796 |        796 |                   _heapq
import time:       235 |       1031 |                 heapq
import time:       867 |        867 |                 _queue
import time:       334 |       2231 |               queue
import time:       400 |       2630 |             concurrent.futures.thread
import time:       286 |        286 |               importlib._abc
import time:       111 |        396 |             importlib.util
import time:        54 |         54 |             cython
import time:       507 |        507 |             _sysconfigdata__darwin_darwin
import time:       310 |        310 |             _osx_support
import time:       915 |      21767 |           scipy._lib._testutils
import time:       215 |      21981 |         scipy._lib
import time:      1355 |       1355 |           scipy._cyutility
import time:      1133 |       2488 |         scipy._lib._ccallback_c
import time:       286 |      24754 |       scipy._lib._ccallback
import time:       744 |      88125 |     scipy
import time:       584 |        584 |         scipy.special._sf_error
import time:      1313 |       1313 |           scipy.special._ufuncs_cxx
import time:      1632 |       1632 |                     scipy.linalg._fblas
import time:       367 |       1999 |                   scipy.linalg.blas
import time:      2642 |       2642 |                     scipy.linalg._flapack
import time:       857 |       3499 |                   scipy.linalg.lapack
import time:      1431 |       1431 |                   scipy.linalg._batched_linalg
import time:       441 |        441 |                         copy
import time:       564 |       1004 |                       dataclasses
import time:       383 |        383 |                         numpy._typing._add_docstring
import time:       368 |        751 |                       numpy.typing
import time:       502 |        502 |                             scipy._external.array_api_compat.common._typing
import time:       747 |       1249 |                           scipy._external.array_api_compat.common._helpers
import time:       359 |       1608 |                         scipy._external.array_api_compat.common
import time:       150 |       1758 |                       scipy._external.array_api_compat
import time:       182 |        182 |                         scipy._external.array_api_compat._internal
import time:       384 |        384 |                           numpy.fft._helper
import time:      1388 |       1388 |                             numpy.fft._pocketfft_umath
import time:       563 |       1950 |                           numpy.fft._pocketfft
import time:       204 |        204 |                           numpy.fft.helper
import time:       382 |       2918 |                         numpy.fft
import time:      1369 |       1369 |                               numpy.random._common
import time:      1002 |       1002 |                                   binascii
import time:       373 |       1374 |                                 base64
import time:      2008 |       2008 |                                   _hashlib
import time:      1187 |       1187 |                                     _blake2
import time:       269 |       1456 |                                   hashlib
import time:       378 |       3841 |                                 hmac
import time:      1161 |       1161 |                                     _bisect
import time:       270 |       1431 |                                   bisect
import time:      1042 |       1042 |                                   _random
import time:       809 |       3280 |                                 random
import time:       442 |       8937 |                               secrets
import time:      1387 |      11692 |                             numpy.random.bit_generator
import time:      2086 |      13777 |                           numpy.random._bounded_integers
import time:      1535 |       1535 |                               numpy.random._pcg64
import time:      1321 |       1321 |                               numpy.random._mt19937
import time:      2004 |       4859 |                             numpy.random._generator
import time:       981 |        981 |                             numpy.random._philox
import time:      1383 |       1383 |                             numpy.random._sfc64
import time:      2024 |       2024 |                             numpy.random.mtrand
import time:       340 |       9586 |                           numpy.random._pickle
import time:       410 |      23772 |                         numpy.random
import time:       272 |        272 |                             numpy.polynomial.polyutils
import time:       393 |        393 |                             numpy.polynomial._polybase
import time:       611 |       1276 |                           numpy.polynomial.chebyshev
import time:       348 |        348 |                           numpy.polynomial.hermite
import time:       280 |        280 |                           numpy.polynomial.hermite_e
import time:       265 |        265 |                           numpy.polynomial.laguerre
import time:       282 |        282 |                           numpy.polynomial.legendre
import time:       433 |        433 |                           numpy.polynomial.polynomial
import time:       438 |       3319 |                         numpy.polynomial
import time:       518 |        518 |                             numpy._core.strings
import time:       209 |        209 |                             numpy.strings
import time:       438 |       1164 |                           numpy._core.defchararray
import time:       273 |       1436 |                         numpy.char
import time:      2320 |       2320 |                           numpy.ma.core
import time:       709 |        709 |                           numpy.ma.extras
import time:       336 |       3364 |                         numpy.ma
import time:       466 |        466 |                           numpy.ctypeslib._ctypeslib
import time:       362 |        827 |                         numpy.ctypeslib
import time:       342 |        342 |                           numpy.core._utils
import time:       308 |        650 |                         numpy.core
import time:       368 |        368 |                               unittest.util
import time:       567 |        934 |                             unittest.result
import time:       630 |        630 |                               difflib
import time:       347 |        347 |                               pprint
import time:       567 |       1544 |                             unittest.case
import time:       415 |        415 |                             unittest.suite
import time:       377 |        377 |                             unittest.loader
import time:       522 |        522 |                                 gettext
import time:       648 |       1170 |                               argparse
import time:       417 |        417 |                                   signal
import time:       167 |        584 |                                 unittest.signals
import time:       296 |        879 |                               unittest.runner
import time:       244 |       2292 |                             unittest.main
import time:       448 |       6008 |                           unittest
import time:       345 |        345 |                           numpy.testing._private
import time:       160 |        160 |                           numpy.testing.overrides
import time:       248 |        248 |                                 glob
import time:      2022 |       2269 |                               pathlib._abc
import time:        81 |         81 |                                   _winapi
import time:        51 |         51 |                                   nt
import time:        50 |         50 |                                   nt
import time:        46 |         46 |                                   nt
import time:        42 |         42 |                                   nt
import time:        42 |         42 |                                   nt
import time:        39 |         39 |                                   nt
import time:        39 |         39 |                                   nt
import time:       160 |        546 |                                 ntpath
import time:        30 |         30 |                                 pwd
import time:       887 |        887 |                                 grp
